nct_id,last_update_posted_date,start_date,completion_date,primary_completion_date,official_title,overall_status,phase,enrollment,number_of_arms,designs,healthy_volunteers,name,country_count,facility_count
NCT02863419,20-Jul-22,10-Aug-16,30-Mar-18,19-Aug-17,Efficacy and Safety of Oral Semaglutide Versus Liraglutide and Versus Placebo in Subjects With Type 2 Diabetes Mellitus,Completed,Phase 3,711,3,Randomized,No,Novo Nordisk A/S,14,108
NCT02906930,20-Jul-22,20-Sep-16,08-Dec-17,30-Oct-17,Efficacy and Safety of Oral Semaglutide Versus Placebo in Subjects With Type 2 Diabetes Mellitus Treated With Diet and Exercise Only.,Completed,Phase 3,703,4,Randomized,No,Novo Nordisk A/S,12,105
NCT03730662,14-Feb-22,20-Nov-18,22-Apr-21,22-Jan-21,Efficacy and Safety of LY3298176 Once Weekly Versus Insulin Glargine in Patients With Type 2 Diabetes and Increased Cardiovascular Risk (SURPASS-4),Completed,Phase 3,2002,4,Randomized,No,Eli Lilly and Company,15,216
NCT03882970,19-Jan-22,01-Apr-19,04-Jan-21,11-Dec-20,"A Randomized, Phase 3, Open-Label Trial Comparing the Effect of LY3298176 Versus Titrated Insulin Degludec on Glycemic Control in Patients With Type 2 Diabetes",Completed,Phase 3,1444,4,Randomized,No,Eli Lilly and Company,13,122
NCT03954834,20-Oct-21,03-Jun-19,28-Oct-20,05-Oct-20,"A Randomized, Double-blind, Placebo-Controlled Trial Comparing the Efficacy and Safety of Three Tirzepatide Doses Versus Placebo in Patients With Type 2 Diabetes, Inadequately Controlled With Diet and Exercise Alone",Completed,Phase 3,478,4,Randomized,No,Eli Lilly and Company,5,53
NCT03987919,14-Feb-22,30-Jul-19,15-Feb-21,28-Jan-21,"A Phase 3, Randomized, Open-Label Trial Comparing Efficacy and Safety of Tirzepatide Versus Semaglutide Once Weekly as Add-on Therapy to Metformin in Patients With Type 2 Diabetes",Completed,Phase 3,1879,4,Randomized,No,Eli Lilly and Company,9,127
NCT05259033,14-Dec-22,11-Apr-22,17-Feb-24,12-Jan-24,"A 52 Week Study Comparing the Efficacy and Safety of Once Weekly IcoSema and Once Weekly Semaglutide, Both Treatment Arms With or Without Oral Anti Diabetic Drugs, in Participants With Type 2 Diabetes Inadequately Controlled With a GLP 1 Receptor Agonist. COMBINE 2",Recruiting,Phase 3,680,2,Randomized,No,Novo Nordisk A/S,14,145
NCT05260021,12-Dec-22,13-Apr-22,31-Dec-27,30-Nov-27,"A Randomized, Double-Blind, Placebo-Controlled, Phase 3 Study With an Open-Label Extension Assessing the Efficacy, Safety, and Pharmacokinetics/Pharmacodynamics of Tirzepatide in Pediatric and Adolescent Participants With Type 2 Diabetes Mellitus Inadequately Controlled With Metformin, or Basal Insulin, or Both",Recruiting,Phase 3,90,3,Randomized,No,Eli Lilly and Company,11,54
NCT05433584,12-Dec-22,01-Aug-22,07-Jun-27,09-May-25,"A Randomized, Open-Label, Parallel-Group, Two-Arm, Phase 4 Study to Evaluate the Long-Term Efficacy and Safety of Tirzepatide Compared With Intensified Conventional Care in Adults When Initiating Treatment Early in the Course of Type 2 Diabetes",Recruiting,Phase 4,780,2,Randomized,No,Eli Lilly and Company,12,97
NCT05441267,10-Nov-22,31-Dec-22,17-Aug-48,17-Aug-28,A Study of Cardiovascular Events iN Diabetes Plus,Not yet recruiting,Phase 4,20000,2,Randomized,No,University of Oxford,0,0
