nct_id,name,city,state,zip
NCT03987919,Holston Medical Group,Bristol,Tennessee,37620
NCT03987919,Dallas Diabetes Research Center,Dallas,Texas,75230
NCT03987919,"Biopharma Informatic, Inc.",Houston,Texas,77043
NCT03987919,"Consano Clinical Research, LLC",Shavano Park,Texas,78231
NCT03987919,"Carl R. Meisner Medical Clinic, PLLC",Sugar Land,Texas,77478
NCT03987919,Martin Diagnostic Clinic,Tomball,Texas,77375
NCT03987919,Burke Internal Medicine and Research,Burke,Virginia,22015
NCT03987919,Capital Clinical Research Center,Olympia,Washington,98502
NCT03987919,The Vancouver Clinic,Vancouver,Washington,98664
NCT03987919,CEDIC,Caba,Ar-b,C1425DES
NCT03987919,CIPREC,Ciudad Autonoma de Buenos Aire,Ar-b,C1119ACN
NCT03987919,Investigaciones Medicas Imoba Srl,Buenos Aires,Ar-c,C1179AAB
NCT03987919,CEMEDIAB,C.a.b.a.,Ar-c,C1205AAO
NCT03987919,Sanatorio Norte,Santiago del Estero,Ar-g,4200
NCT03987919,Centro de Investigaciones Metabólicas (CINME),Caba,Buenos Aires,C1056ABJ
NCT03987919,Centro Médico Viamonte,Caba,Buenos Aires,C1120AAC
NCT03987919,Centro Medico Dr Laura Maffei Investigacion Clinica Aplicada,Caba,Buenos Aires,C1425AGC
NCT03987919,Mautalen Salud e Investigacion-Centro de Osteopatías Médicas,Ciudad Autonoma De Buenos Air,Buenos Aires,C1128AAF
NCT03987919,CIPADI,Godoy Cruz,Mendoza,M5501ARP
NCT03987919,Instituto de Investigaciones Clínicas Mar del Plata,Mar del Plata,Provincia De Buenos Aires,(B7600FZN)
NCT03987919,Instituto Centenario,Ciudad Autonoma de Buenos Aire,,C1204AAD
NCT03987919,Cent Priva Especiali Médicas Ambulatorias Inve Clin CEMAIC,Cordoba,,X5008HHW
NCT03987919,Paratus Clinical Research Western Sydney,Blacktown,Au-nsw,2148
NCT03987919,Campbelltown Medical & Dental Centre,Campbelltown,Au-nsw,2560
NCT03987919,Paratus Clinical Research Central Coast,Kanwal,Au-nsw,2259
NCT03987919,Holdsworth House Medical Practice,Sydney,New South Wales,2010
NCT03987919,GenesisCare - Bundaberg,Bundaberg,Queensland,4670
NCT03987919,Royal Brisbane and Womens Hospital,Herston,Queensland,4029
NCT03987919,Core Research Group,Milton,Queensland,4064
NCT03987919,AusTrials,Taringa,Queensland,4068
NCT03987919,Eastern Clinical Research Unit,Box Hill,Victoria,3128
NCT03987919,Barwon Health - The Geelong Hospital,Geelong,Victoria,3220
NCT03987919,GenesisCare - Wexford Medical Centre WA,Joondalup,Western Australia,6027
NCT03987919,GenesisCare - Wexford Medical Centre WA,Murdoch,Western Australia,6150
NCT03987919,Adelaide Medical Solutions,Woodville South,,5011
NCT03987919,CEDOES,Vitória,Br-es,29055450
NCT03987919,ISPEM - Instituto São José dos Campos em Pesquisas Médicas,São José dos Campos,Br-sp,12243-280
NCT03987919,CPQuali Pesquisa Clínica,São Paulo,Br-sp,01228-000
NCT03987919,CEPIC - Centro Paulista de Investigação Clínica,São Paulo,Br-sp,04266-010
NCT03987919,Centro de Pesquisas em Diabetes,Porto Alegre,Rio Grande Do Sul,90430-001
NCT03987919,CPCLIN,São Paulo,SP,01228-200
NCT03987919,Dr. Consulta Clínica Médica LTDA,São Paulo,,05016-090
NCT03987919,Milestone Research Inc.,London,Ca-on,N5W 6A2
NCT03987919,Bluewater Clinical Research Group Inc.,Sarnia,Ca-on,N7T 4X3
NCT03987919,Dr. Anil K. Gupta Medicine Professional Corporation,Toronto,Ca-on,M9V 4B4
NCT03987919,Manna Research,Lévis,Ca-qc,G6W 0M5
NCT03987919,Manna Research - Burlington North,Burlington,Ontario,L7M 4Y1
NCT03987919,Manna Research - Burlington North,Nepean,Ontario,K2J 4A7
NCT03987919,Manna Research - Burlington North,Stoney Creek,Ontario,L8J 3W2
NCT03987919,Manna Research - Burlington North,Toronto,Ontario,M9W 4L6
NCT03987919,Meir Medical Center,Kfar Saba,HaMerkaz,4428164
NCT03987919,Clalit Health Services - Shuali Clinic,Raanana,HaMerkaz,43405
NCT03987919,Sheba Medical Center,Ramat Gan,HaMerkaz,5262100
NCT03987919,Diabetes Medical Center,Tel Aviv,Il-ta,51549
NCT03987919,Hadassah Medical Center,Jerusalem,Yerushalayim,9112001
NCT03987919,Clalit Health Services - Sakhnin Community Clinic,Sakhnin,,3081000
NCT03987919,Tel Aviv Sourasky Medical Center,Tel Aviv Jaffa,,6423906
NCT03987919,Rambam Health Care Campus,Haifa,Ḥeifā,3109601
NCT03987919,Linn Medical Center,Haifa,Ḥeifā,3515209
NCT03987919,Centro Especializado en Diabetes Obesidad y Enfermedades,Mexico,D.f.,11650
NCT03987919,Diseno y Planeacion en Investigacion Medica,Guadalajara,Jalisco,44130
NCT03987919,Instituto Jalisciense de Investigacion en Diabetes y Obesida,Guadalajara,Jalisco,44600
NCT03987919,Unidad de Investigaci�n Cl�nica Cardiometabolica de Occidente,Guadalajara,Mx-jal,44150
NCT03987919,Hospital Universitario Dr. Jose Eleuterio Gonzalez,Monterrey,N.l.,64460
NCT03987919,Unidad Médica para la Salud Integral,San Nicolás de los Garza,Nuevo León,66465
NCT03987919,Centro de Estudios de Investigacion Metabolicos y Cardiovasculares,Ciudad Madero,Tamaulipas,89440
NCT03987919,Investigacion en Salud y Metabolismo S.C,Chihuahua,,31238
NCT03987919,"Paola Mansilla-Letelier, MD",Guaynabo,,00970
NCT03987919,Research and Cardiovascular Corp.,Ponce,,00717
NCT03987919,Clinical Research Puerto Rico,San Juan,,00909
NCT03987919,Martha Gomez Cuellar M.D.,San Juan,,00921
NCT03987919,Oldfield Surgery,Bath,Avon,BA2 3HT
NCT03987919,Staploe Medical Centre,Ely,Gb-cam,CB7 5JD
NCT03987919,Fowey River Practice,Fowey,Gb-con,PL23 1DT
NCT03987919,Oak Tree Surgery,Liskeard,Gb-con,PL14 3XA
NCT03987919,Rame Medical Ltd,Torpoint,Gb-con,PL11 2TB
NCT03987919,Royal Primary Care Chesterfield North west,Chesterfield,Gb-dby,S40 4AA
NCT03987919,Knowle House Surgery,Plymouth,Gb-dev,PL5 3JB
NCT03987919,Queen Alexandra Hospital,Portsmouth,Gb-ham,PO6 3LY
NCT03987919,Lister Hospital,Stevenage,Gb-hrt,SG1 4AB
NCT03987919,Oakenhurst Medical Practice,Blackburn,Gb-lan,BB2 1AX
NCT03987919,Rowden Surgery,cHIPPENHAM,Gb-wil,SN15 2SB
NCT03987919,Leicester General Hospital,Leicester,Leicestershire,LE5 4PW
NCT03987919,University Hospital Coventry & Warwickshire,Coventry,Warwickshire,CV2 2DX
NCT03987919,Wickersley Health Centre - Clifton Medical Centre,Rotherham,,S65 1DA
NCT03730662,Advanced Research Center,Anaheim,California,92805
NCT03730662,"Valley Clinical Trials, Inc.",Covina,California,91723
NCT03730662,Marin Endocrine Associates,Greenbrae,California,94904
NCT03730662,National Research Institute,Huntington Park,California,90255
NCT03730662,Scripps Whittier Diabetes Institute,La Jolla,California,92037
NCT03730662,First Valley Medical Group,Lancaster,California,93534
NCT03730662,National Research Institute,Los Angeles,California,90057
NCT03730662,"Catalina Research Institute, LLC",Montclair,California,91763
NCT03730662,"Monterey Endocrine & Diabetes Institute, Inc.",Monterey,California,93940
NCT03730662,"Valley Clinical Trials, Inc.",Northridge,California,91325
NCT03730662,Desert Medical Group Inc,Palm Springs,California,92262
NCT03730662,Havana Research Institute,Pasadena,California,91105
NCT03730662,Western University of Health Sciences,Pomona,California,91766
NCT03730662,LCGK Research,San Carlos,California,94070
NCT03730662,Olive View Medical Center,Sylmar,California,91342
NCT03730662,"University Clinical Investigators, Inc.",Tustin,California,92780
NCT03730662,Touro University,Vallejo,California,94592
NCT03730662,Coastal Metabolic Research Centre,Ventura,California,93003
NCT03730662,Diablo Clinical Research,Walnut Creek,California,94598
NCT03730662,"Chase Medical Research, LLC",Waterbury,Connecticut,06708
NCT03730662,"ALL Medical Research, LLC",Cooper City,Florida,33024
NCT03730662,Advanced Pharma Research,Cutler Bay,Florida,33189
NCT03730662,South Florida Wellness & Clinical Research Institute,Margate,Florida,33063
NCT03730662,"Suncoast Research Group, LLC",Miami,Florida,33135
NCT03730662,New Horizon Research Center,Miami,Florida,33165
NCT03730662,Clinical Neuroscience Solutions Inc,Orlando,Florida,32801
NCT03730662,Progressive Medical Research,Port Orange,Florida,32127
NCT03730662,"Primary Care Specialists, LLC",Atlanta,Georgia,30312
NCT03730662,Rocky Mountain Diabetes and Osteoporosis Center,Idaho Falls,Idaho,83404
NCT03730662,Solaris Clinical Research,Meridian,Idaho,83646
NCT03730662,Saltzer Medical Group. P.A.,Nampa,Idaho,83686
NCT03730662,Northwestern Feinberg School of Medicine,Chicago,Illinois,60611
NCT03730662,NorthShore University HealthSystem,Skokie,Illinois,60077
NCT03730662,University of Iowa Hospital & Clinic,Iowa City,Iowa,52242
NCT03730662,Iowa Diabetes Research,West Des Moines,Iowa,50265
NCT03730662,Cotton O'Neil Diabetes and Endocrinology Center,Topeka,Kansas,66606
NCT03730662,Robley Rex VAMC,Louisville,Kentucky,40206
NCT03730662,"NECCR PrimaCare Research, LLC",Fall River,Massachusetts,02721
NCT03730662,AA Medical Research Center,Flint,Michigan,48504
NCT03730662,"Troy Internal Medicine, PC",Troy,Michigan,48098
NCT03730662,Clinical Research Professionals,Chesterfield,Missouri,63005
NCT03730662,Glacier View Research Institute,Kalispell,Montana,59901
NCT03730662,"Montana Medical Research, Inc",Missoula,Montana,59808
NCT03730662,Palm Research Center,Las Vegas,Nevada,89128
NCT03730662,Palm Research Center,Las Vegas,Nevada,89148
NCT03730662,Southern New Hampshire Diabetes and Endocrinology,Nashua,New Hampshire,03063
NCT03730662,PharmQuest,Greensboro,North Carolina,27408
NCT03730662,Lillestol Research LLC,Fargo,North Dakota,58104
NCT03730662,Rapid Medical Research Inc,Cleveland,Ohio,44122
NCT03730662,Ohio State Univ College Of Medicine,Columbus,Ohio,43210
NCT03730662,Aventiv Research,Columbus,Ohio,43213
NCT03730662,Intend Research,Norman,Oklahoma,73069
NCT03730662,The Corvallis Clinic P.C.,Corvallis,Oregon,97330
NCT03730662,Oregon Health and Science University,Portland,Oregon,97239
NCT03730662,"Heritage Valley Medical Group, Inc.",Beaver,Pennsylvania,15009
NCT03730662,Capital Area Research,Camp Hill,Pennsylvania,17011
NCT03730662,Detweiler Family Medicine,Lansdale,Pennsylvania,19446
NCT03730662,Capital Area Research,Newport,Pennsylvania,17074
NCT03730662,Parkside Family Medical,Philadelphia,Pennsylvania,19144
NCT03730662,Preferred Primary Care Physicians- Bower Hill,Pittsburgh,Pennsylvania,15243
NCT03730662,"Mountain View Clinical Research, Inc.",Greer,South Carolina,29651
NCT03730662,The Research Center of the Upstate,Mauldin,South Carolina,29662
NCT03730662,Holston Medical Group Clinical Research,Kingsport,Tennessee,37660
NCT03730662,New Phase Research & Development,Knoxville,Tennessee,37909
NCT03730662,Dallas Diabetes Endocrine Center,Dallas,Texas,75230
NCT03730662,PCP for Life,Houston,Texas,77070
NCT03730662,BFHC Research,San Antonio,Texas,78249
NCT03730662,Consano Clinical Research,Shavano Park,Texas,78231
NCT03730662,Martin Diagnostic Clinic,Tomball,Texas,77375
NCT03730662,Alpine Research Organization,Farmington,Utah,84025
NCT03730662,Burke Internal Medicine & Research,Burke,Virginia,22015
NCT03730662,Private: Dr. Larry Stonesifer,Federal Way,Washington,98003
NCT03730662,Capital Clinical Research Center,Olympia,Washington,98502
NCT03730662,Walla Walla Clinic,Walla Walla,Washington,99362
NCT03730662,Centro de Investigaciones Metabólicas (CINME),Caba,Buenos Aires,C1056ABJ
NCT03730662,Mautalen Salud e Investigación - Servicio de Endocrinología,Caba,Buenos Aires,C1128AAF
NCT03730662,Investigaciones Medicas IMOBA S.R.L.,Caba,Buenos Aires,C1179AAB
NCT03730662,CEDIC-Centro de Investigaciones Clinicas,Caba,Buenos Aires,C1425DES
NCT03730662,CEMEDIC,Caba,Buenos Aires,C1440CFD
NCT03730662,Centro Medico Dr Laura Maffei Investigacion Clinica Aplicada,Ciudad Autonoma de Buenos Aire,Buenos Aires,C1425AGC
NCT03730662,Centro de Investigacion y Prevencion Cardiovascular (CIPREC),Ciudad Autonoma de,Buenos Aires,C1119ACN
NCT03730662,CIPADI,Godoy Cruz,Mendoza,M5501ARP
NCT03730662,AXISMED SRL - Bioclinica Research Network,Buenos Aires,,C1430CKE
NCT03730662,Centro Médico Viamonte,Ciudad Autonoma de Buenos Aire,,C1120AAC
NCT03730662,Instituto Centenario,Ciudad Autonoma de Buenos Aire,,C1204AAD
NCT03730662,Cemediab - Centro Médico Diabetológico Dr. Alejandro Chertkoff,Ciudad Autonoma de Buenos Aire,,C1205AAO
NCT03730662,Centro Diabetologico Dr Waitman,Cordoba,,5000
NCT03730662,Centro Medico Privado San Vicente Diabetes,Cordoba,,X5006CBI
NCT03730662,Cent Priva Especiali Médicas Ambulatorias Inve Clin CEMAIC,Cordoba,,X5008HHW
NCT03730662,Paratus Clinical Blacktown Clinic,Blacktown,New South Wales,2148
NCT03730662,Campbelltown Medical & Dental Centre,Campbelltown,New South Wales,2560
NCT03730662,Paratus Clinical Kanwal Clinic,Kanwal,New South Wales,2259
NCT03730662,The AIM Centre,Merewether,New South Wales,2291
NCT03730662,Royal North Shore Hospital,St. Leonards,New South Wales,2065
NCT03730662,CORE Research Group Pty Ltd,Brisbane,Queensland,4064
NCT03730662,Morayfield Medical and Dental Centre,Morayfield,Queensland,4506
NCT03730662,AusTrials Pty Ltd,Sherwood,Queensland,4075
NCT03730662,Victoria Point Medical and Dental Centre,Victoria Point,Queensland,4165
NCT03730662,GP Plus Marion,Oaklands Park,South Australia,5046
NCT03730662,Eastern Clinical Research Unit,Box Hill,Victoria,3128
NCT03730662,Forest Hill Medical and Dental Centre,Forest Hill,Victoria,3131
NCT03730662,Barwon Health - The Geelong Hospital,Geelong,Victoria,3220
NCT03730662,Royal Melbourne Hospital,Parkville,Victoria,3050
NCT03730662,Fremantle Hospital,Fremantle,Western Australia,6160
NCT03730662,Instituto de Ensino e Pesquisa Clinica do Ceara,Fortaleza,Ceara,60170-195
NCT03730662,Centro de Pesquisa Clinica do Brasil,Brasilia,Distrito Federal,71625-009
NCT03730662,Cedoes Centro Diagnostico Pequisa Osteoporose E Santo Ltd,Vitoria,ES,29055-450
NCT03730662,Centro de Diabetes Curitiba,Curitiba,Parana,80810-040
NCT03730662,CCBR Brasil Centro de Analises e Pesquisas Clínicas LTDA,Rio de Janeiro,RJ,22271-100
NCT03730662,CPQuali Pesquisa Clínica Ltda.,São Paulo,SP,01228-000
NCT03730662,Cpclin Centro de Pesquisas Clinicas,São Paulo,SP,01228-200
NCT03730662,Centro de Pesq. em Diabetes e Doencas Endocrino Metabol.,Fortaleza,,60430-350
NCT03730662,Dr. Consulta Clínica Médica LTDA,São Paulo,,01141-020
NCT03730662,LMC Manna Research,Calgary,Alberta,T2H 2G4
NCT03730662,C-Health Diabetes and Endocrinology Clinic Calgary,Calgary,Alberta,T2V 4J2
NCT03730662,Synergy Medical Research,Sherwood Park,Alberta,T8H 0N2
NCT03730662,LMC Endocrinology Centres Ltd.,Barrie,Ontario,L4N 7L3
NCT03730662,LMC Endocrinology Centers Brampton,Brampton,Ontario,L6S 0C6
NCT03730662,Aggarwal and Associates Ltd,Brampton,Ontario,L6T 0G1
NCT03730662,LMC Endocrinology Centres Ltd.,Concord,Ontario,L4K 4M2
NCT03730662,Milestone Research Inc.,London,Ontario,N5W6A2
NCT03730662,LMC Endocrinology Centres Ltd.,Nepean,Ontario,K2J 0V2
NCT03730662,Bluewater Clinical Research Group Inc,Sarnia,Ontario,N7T 4X3
NCT03730662,Canadian Centre for Research on Diabetes,Smiths Falls,Ontario,K7A 4W8
NCT03730662,"Manna Research, Inc.",Stoney Creek,Ontario,L8J 3W2
NCT03730662,Medicor Research Inc,Sudbury,Ontario,P3A 1W8
NCT03730662,LMC Endocrinology Centres Ltd.,Toronto,Ontario,M4G 3E8
NCT03730662,Sameh Fikry Medicine Professional Corporation,Waterloo,Ontario,N2J 1C4
NCT03730662,Q & T Research Outaouais,Gatineau,Quebec,J8Y 6S8
NCT03730662,Centre De Recherche Clinique De Laval,Laval,Quebec,H7T 2P5
NCT03730662,Manna Research (Quebec),Levis,Quebec,G6W 0M5
NCT03730662,LMC Endocrinology Centres Ltd.,Ville St-Laurent,Quebec,H4T 1Z9
NCT03730662,"Iatriko Palaiou Falirou, Medical Center",Palaio Faliro,Athens,17562
NCT03730662,Thermi Clinic,Thermi,Thessaloniki,57001
NCT03730662,University General Hospital of Larissa,Larissa,,41110
NCT03730662,AHEPA Hospital,Thessaloniki,,54636
NCT03730662,Euromedica - General Clinic of Thessaloniki,Thessaloniki,,54645
NCT03730662,Ha'Emek Medical Center,Afula,,1834111
NCT03730662,Soroka Medical Center,Beer Sheva,,8410101
NCT03730662,Rambam Medical Center,Haifa,,3109601
NCT03730662,Wolfson Medical Center,Holon,,5822012
NCT03730662,Hadassah Medical Center,Jerusalem,,911201
NCT03730662,Rabin Medical Center,Petach Tikva,,4941492
NCT03730662,Sheba Medical Center,Ramat Gan,,5266202
NCT03730662,"Sakhnin Community Clinic, Clalit Health Services",Sakhnin,,3081000
NCT03730662,Tel Aviv Sourasky Medical Center,Tel Aviv Jaffa,,6423906
NCT03730662,Instituto Jalisciense de Investigacion en Diabetes y Obesida,Guadalajara,Jalisco,04460
NCT03730662,Diseno y Planeacion en Investigacion Medica S.C.,Guadalajara,Jalisco,44130
NCT03730662,St. Lucas Clinical Research Center,Merida,Mexico State,97217
NCT03730662,Unidad Medica para la Salud Integral (UMSI),Monterrey,Nuevo León,66465
NCT03730662,Centro de Estudios de Investigacion Metabolicos y Cardiovasc,Tampico,Tamaulipas,89000
NCT03730662,Investigacion en Salud y Metabolismo S.C,Chihuahua,,31217
NCT03730662,Centralny Szpital Kliniczny MSWiA Klinika Dermatologiczna,Warszawa,Mazowieckie,02-507
NCT03730662,Poradnia Diabetologiczna SN ZOZ Lege Artis,Bialystok,,15-404
NCT03730662,NZOZ Diab-Endo-Met,Krakow,,31-261
NCT03730662,Centrum Terapii Wspolczesnej J.M. Jasnorzewska S.K.A.,Lodz,,90-242
NCT03730662,NZOZ CenterMed Lublin,Lublin,,20-044
NCT03730662,Gabinety Terpa,Lublin,,20-333
NCT03730662,NZOZ Przychodnia Specjalistyczna MEDICA,Lublin,,20-538
NCT03730662,Praktyka Lekarska,Poznan,,61-655
NCT03730662,Nzoz Neuro - Kard,Poznan,,61-853
NCT03730662,NZOZ Przychodnia Specjalistyczna Henryk RudzkiAndrzej Wittek,Ruda Slaska,,41-709
NCT03730662,Woj. Zesp. Spec. Opieki Zdrowotnej,Wroclaw,,50-403
NCT03730662,"Emanuelli Research & Development Center, LLC",Arecibo,,00612
NCT03730662,Manati Center for Clinical Research Inc,Manati,,00674
NCT03730662,Ponce School of Medicine CAIMED Center,Ponce,,00716
NCT03730662,Research and Cardiovascular Corp.,Ponce,,00717
NCT03730662,University Of Puerto Rico,Rio Pedras,,00936
NCT03730662,GCM Medical Group PSC,San Juan,,00909
NCT03730662,Consultorio Medico,San Juan,,00921
NCT03730662,SC Gama Diamed SRL,Mangalia,Constanta,905500
NCT03730662,Spitalul Judetean de Urgenta Satu Mare,Satu-Mare,Jud Satu-Mare,440055
NCT03730662,CMI DNBM Dr. Pop Lavinia,Baia Mare,Maramures,430222
NCT03730662,Cosamext SRL,Targu Mures,Mures,540098
NCT03730662,Centrul Medical Dr. Negrisanu,Timisoara,Timis,300456
NCT03730662,Centrul Medical de Diagnostic si Tratament Ambulatoriu Neomed SRL,Brasov,,500283
NCT03730662,Cabinetul Medical Nicodiab SRL,Bucharest,,010507
NCT03730662,SC Nutrilife SRL,Bucuresti,,013671
NCT03730662,Milena Sante SRL,Galati,,800001
NCT03730662,Arkhangelsk the first city clinical hospital,Arkhangelsk,,163045
NCT03730662,FSBI Endocrinological Research Center of the MOH of the ROF,Moscow,,117036
NCT03730662,Novosibirsk Regional Clinical Hospital,Novosibirsk,,630087
NCT03730662,Ryazan Regional Clinincal Cardiology Dispensary,Ryazan,,390026
NCT03730662,City Hospital of Saint Martyr Elizabeth,Saint Petersburg,,193257
NCT03730662,Medical Military Academy,Saint Petersburg,,194044
NCT03730662,"SPb GUZ ""Diagnostic Center #85""",Saint Petersburg,,198255
NCT03730662,City Consultative and Diagnostic Center,Saint-Petersburg,,194354
NCT03730662,Regional Clinical Hospital,Saratov,,410053
NCT03730662,Research & Practice Ltd,Yaroslavl,,150003
NCT03730662,Human care s.r.o.,Kosice,Slovak Republic,04012
NCT03730662,MediVet s.r.o.,Malacky,Slovak Republic,90101
NCT03730662,Areteus s.r.o.,Trebisov,Slovak Republic,07501
NCT03730662,DIA-MED CENTRUM s.r.o.,Puchov,,02001
NCT03730662,Tatratrial s.r.o.,Roznava,,04801
NCT03730662,MEDI-DIA s.r.o.,Sabinov,,08301
NCT03730662,Hospital Universitario Marques De Valdecilla,Santander,Cantabria,39011
NCT03730662,Hospital Universitario Quiron Madrid,Pozuelo de Alarcon,Madrid,28223
NCT03730662,Hospital de la Ribera,Alcira,Valencia,46600
NCT03730662,Instituto de Ciencias medicas,Alicante,,03004
NCT03730662,Centro Periférico de Especialidades Bola Azul,Almeria,,04009
NCT03730662,Hospital Quironsalud Barcelona- END,Barcelona,,08023
NCT03730662,Hospital Clinico Universitario San Cecilio,Granada,,18016
NCT03730662,"Complexo Hospitalario Universitario A Coruña, CHUAC",La Coruña,,15006
NCT03730662,Centro Especialidades San Jose Obrero (Barbarela),Malaga,,29006
NCT03730662,Clinica Juaneda,Palma de Mallorca,,07014
NCT03730662,Hospital Universitario Virgen Macarena,Sevilla,,41009
NCT03730662,Clinica Nuevas Tecnologias en Diabetes y Endocrinologia,Seville,,41003
NCT03730662,Cardinal Tien Hospital,Sindian City,Taipei County,23148
NCT03730662,Chang Gung Memorial Hospital - Kaohsiung,Kaohsiung City,,833
NCT03730662,Chung Shan Medical University Hospital,Taichung City,,40201
NCT03730662,Kuang Tien General Hospital,Taichung County,,433
NCT03730662,China Medical University Hospital,Taichung,,40447
NCT03730662,Chi-Mei Medical Center,Tainan City,,71004
NCT03730662,National Cheng Kung University Hospital,Tainan,,70403
NCT03730662,National Taiwan University Hospital,Taipei City,,10048
NCT03730662,Taipei Veterans General Hospital,Taipei,,11217
NCT02054897,Novo Nordisk Investigational Site,Anniston,Alabama,36207
NCT02054897,Novo Nordisk Investigational Site,Birmingham,Alabama,35216
NCT02054897,Novo Nordisk Investigational Site,Pell City,Alabama,35128
NCT02054897,Novo Nordisk Investigational Site,Hawaiian Gardens,California,90716
NCT02054897,Novo Nordisk Investigational Site,Lomita,California,90717
NCT02054897,Novo Nordisk Investigational Site,Los Angeles,California,90057
NCT02054897,Novo Nordisk Investigational Site,Montclair,California,91763
NCT02054897,Novo Nordisk Investigational Site,Northridge,California,91324
NCT02054897,Novo Nordisk Investigational Site,Colorado Springs,Colorado,80920
NCT02054897,Novo Nordisk Investigational Site,Boynton Beach,Florida,33472
NCT02054897,Novo Nordisk Investigational Site,Jacksonville,Florida,32277
NCT02054897,Novo Nordisk Investigational Site,Miami Lakes,Florida,33016
NCT02054897,Novo Nordisk Investigational Site,Miami,Florida,33015
NCT02054897,Novo Nordisk Investigational Site,Miami,Florida,33143
NCT02054897,Novo Nordisk Investigational Site,Miami,Florida,33144
NCT02054897,Novo Nordisk Investigational Site,Miami,Florida,33173
NCT02054897,Novo Nordisk Investigational Site,Miami,Florida,33174
NCT02054897,Novo Nordisk Investigational Site,Pembroke Pines,Florida,33026
NCT02054897,Novo Nordisk Investigational Site,Savannah,Georgia,31406
NCT02054897,Novo Nordisk Investigational Site,Brownsburg,Indiana,46112
NCT02054897,Novo Nordisk Investigational Site,Franklin,Indiana,46131
NCT02054897,Novo Nordisk Investigational Site,Wichita,Kansas,67226
NCT02054897,Novo Nordisk Investigational Site,Lexington,Kentucky,40504
NCT02054897,Novo Nordisk Investigational Site,Olive Branch,Mississippi,38654
NCT02054897,Novo Nordisk Investigational Site,Billings,Montana,59101
NCT02054897,Novo Nordisk Investigational Site,Omaha,Nebraska,68144
NCT02054897,Novo Nordisk Investigational Site,Belvidere,New Jersey,07823
NCT02054897,Novo Nordisk Investigational Site,Albuquerque,New Mexico,87102
NCT02054897,Novo Nordisk Investigational Site,Charlotte,North Carolina,28277
NCT02054897,Novo Nordisk Investigational Site,Whiteville,North Carolina,28472
NCT02054897,Novo Nordisk Investigational Site,Cincinnati,Ohio,45255
NCT02054897,Novo Nordisk Investigational Site,Delaware,Ohio,43015
NCT02054897,Novo Nordisk Investigational Site,Levittown,Pennsylvania,19056
NCT02054897,Novo Nordisk Investigational Site,Spartanburg,South Carolina,29303
