nct_id,outcome_type,title,time_frame
NCT01064687,Secondary,Change From Baseline to 52 Weeks in the Diabetes Treatment Satisfaction Questionnaire Status (DTSQs) and Change (DTSQc) Versions,"Baseline, 52 weeks"
NCT01064687,Secondary,Change From Baseline to 26 Weeks in the Impact of Weight on Activities of Daily Living,"Baseline, 26 weeks"
NCT01064687,Secondary,Change From Baseline to 52 Weeks in the Impact of Weight on Activities of Daily Living,"Baseline, 52 weeks"
NCT01064687,Secondary,Change From Baseline to 26 Weeks on the Impact of Weight on Self-Perception,"Baseline, 26 weeks"
NCT01064687,Secondary,Change From Baseline to 52 Weeks on the Impact of Weight on Self-Perception,"Baseline, 52 weeks"
NCT01064687,Secondary,Number of Participants With Adjudicated Cardiovascular Events at 52 Weeks,Baseline through 52 weeks
NCT01064687,Secondary,"Change From Baseline to 26 Weeks on Electrocardiogram Parameters, Fridericia Corrected QT (QTcF) Interval and PR Interval","Baseline, 26 weeks"
NCT01064687,Secondary,"Change From Baseline to 52 Weeks on Electrocardiogram Parameters, Fridericia Corrected QT (QTcF) Interval and PR Interval","Baseline, 52 weeks"
NCT01064687,Secondary,Change in Baseline to 26 Weeks on Pulse Rate,"Baseline, 26 weeks"
NCT01064687,Secondary,Change in Baseline to 52 Weeks on Pulse Rate,"Baseline, 52 weeks"
NCT01064687,Secondary,Change From Baseline to 26 Weeks on Blood Pressure,"Baseline, 26 weeks"
NCT01064687,Secondary,Change From Baseline to 52 Weeks on Blood Pressure,"Baseline, 52 weeks"
NCT01064687,Secondary,Number of Participants With Adjudicated Pancreatitis at 26 Weeks,Baseline through 26 weeks
NCT01064687,Secondary,Number of Participants With Adjudicated Pancreatitis at 52 Weeks,Baseline through 52 weeks
NCT01064687,Secondary,Change From Baseline to 26 Weeks on Pancreatic Enzymes,"Baseline, 26 weeks"
NCT01064687,Secondary,Change From Baseline to 52 Weeks on Pancreatic Enzymes,"Baseline, 52 weeks"
NCT01064687,Secondary,Change From Baseline to 26 Weeks on Serum Calcitonin,"Baseline, 26 weeks"
NCT01064687,Secondary,Change From Baseline to 52 Weeks on Serum Calcitonin,"Baseline, 52 weeks"
NCT01064687,Secondary,Number of Self-reported Hypoglycemic Events at 26 Weeks,Baseline through 26 weeks
NCT01064687,Secondary,Number of Self-reported Hypoglycemic Events at 52 Weeks,Baseline through 52 weeks
NCT01064687,Secondary,Rate of Self-reported Hypoglycemic Events at 26 Weeks,Baseline through 26 weeks
NCT01064687,Secondary,Rate of Self-reported Hypoglycemic Events at 52 Weeks,Baseline through 52 weeks
NCT01064687,Secondary,Number of Participants Requiring Rescue Therapy Due to Hyperglycemia at 26 Weeks,Baseline through 26 weeks
NCT01064687,Secondary,Number of Participants Requiring Rescue Therapy Due to Hyperglycemia at 52 Weeks,Baseline through 52 weeks
NCT01064687,Secondary,Number of Participants With LY2189265 Antibodies at 26 Weeks,Baseline through 26 weeks
NCT01064687,Secondary,Number of Participants With LY2189265 Antibodies at 52 Weeks and 4 Weeks After Last Dose of Study Drug,26 weeks through 52 weeks and 53 weeks through 4 weeks after last dose
NCT01064687,Secondary,Number of Participants With Treatment Emergent Adverse Events at 26 Weeks,Baseline through 26 weeks
NCT01064687,Secondary,Number of Participants With Treatment Emergent Adverse Events at 52 Weeks,Baseline through 52 weeks
NCT01064687,Secondary,Change From Baseline to 26 Weeks in Hematological and Biochemical Lab Values,"Baseline, 26 weeks"
NCT01064687,Secondary,Change From Baseline to 52 Weeks in Hematological and Biochemical Lab Values,"Baseline, 52 weeks"
NCT01064687,Secondary,Change From Baseline to 26 Weeks in N Terminal Pro Brain Natriuretic Peptide (NT-proBNP),"Baseline, 26 weeks"
NCT01064687,Secondary,Pharmacokinetics: Area Under the Concentration Curve (AUC) for LY2189265,"4 weeks, 13 weeks, 26 weeks, and 52 weeks"
NCT01075282,Secondary,"Change From Baseline to 26, 52 and 78 Weeks on Serum Calcitonin","Baseline, 26, 52, and 78 weeks"
NCT01075282,Primary,Change From Baseline to 52 Weeks Endpoint in Glycosylated Hemoglobin (HbA1c),"Baseline, 52 weeks"
NCT01075282,Secondary,Change From Baseline to 26 Weeks and 78 Weeks Endpoint in Glycosylated Hemoglobin (HbA1c),"Baseline, 26 weeks, and 78 weeks"
NCT01075282,Secondary,"Number of Participants Achieving Glycosylated Hemoglobin (HbA1c) Less Than 7% at 26, 52 and 78 Weeks","26, 52, and 78 weeks"
NCT01075282,Secondary,"Number of Participants Achieving Glycosylated Hemoglobin (HbA1c) Less Than or Equal to 6.5% at 26, 52 and 78 Weeks","26, 52, and 78 weeks"
NCT01075282,Secondary,"Change From Baseline to 26, 52 and 78 Weeks for Daily Mean Blood Glucose Values From the 8-point Self-monitored Blood Glucose (SMBG) Profiles","Baseline, 26, 52, and 78 weeks"
NCT01075282,Secondary,"Number of Participants Requiring Additional Intervention Due to Hyperglycemia at 26, 52 and 78 Weeks","26, 52, and 78 weeks"
NCT01075282,Secondary,Change From Baseline to 52 and 78 Weeks in Updated Homeostasis Model Assessment of Beta-cell Function (HOMA2-%B) and Updated Homeostasis Model Assessment of Insulin Sensitivity (HOMA2-%S),"Baseline, 52, and 78 weeks"
NCT01075282,Secondary,Change From Baseline to 52 and 78 Weeks in Glucagon Concentration,"Baseline, 52, and 78 weeks"
NCT01075282,Secondary,"Change From Baseline to 26, 52 and 78 Weeks for Body Weight","Baseline, 26, 52, and 78 weeks"
NCT01075282,Secondary,"Change From Baseline to 26, 52 and 78 Weeks for Body Mass Index","Baseline, 26, 52, and 78 weeks"
NCT01075282,Secondary,"Change From Baseline to 26, 52 and 78 Weeks in the EuroQol 5 Dimension","Baseline, 26, 52, and 78 weeks"
NCT01075282,Secondary,"Change From Baseline to 26, 52 and 78 Weeks on Pancreatic Enzymes","Baseline, 26, 52, and 78 weeks"
NCT01075282,Secondary,"Change From Baseline to 26, 52 and 78 Weeks in the Impact of Weight on Activities of Daily Living","Baseline, 26, 52, and 78 weeks"
NCT01075282,Secondary,"Change From Baseline to 26, 52 and 78 Weeks in the Impact of Weight on Self-Perception","Baseline, 26, 52, and 78 weeks"
NCT01075282,Secondary,"Change From Baseline to 26, 52 and 78 Weeks in the Low Blood Sugar Survey","Baseline, 26, 52, and 78 weeks"
NCT01075282,Secondary,"Number of Participants With Treatment Emergent Adverse Events at 26, 52 and 78 Weeks","26, 52, and 78 weeks"
NCT01075282,Secondary,"Number of Self-reported Hypoglycemic Events at 26, 52 and 78 Weeks","Baseline through 26, 52, and 78 weeks"
NCT01075282,Secondary,"Rate of Self-reported Hypoglycemic Events at 26, 52 and 78 Weeks","Baseline through 26, 52, and 78 weeks"
NCT01075282,Secondary,"Number of Participants With Adjudicated Pancreatitis at 26, 52 and 78 Weeks","Baseline through 26, 52, and 78 weeks"
NCT01075282,Secondary,"Number of Participants With Adjudicated Cardiovascular Events at 26, 52 and 78 Weeks","Baseline through 26, 52, and 78 weeks"
NCT01075282,Secondary,"Change in Baseline to 26, 52 and 78 Weeks on Pulse Rate","Baseline, 26, 52, and 78 weeks"
NCT01075282,Secondary,"Change From Baseline to 26, 52, and 78 Weeks on Blood Pressure","Baseline, 26, 52, and 78 weeks"
NCT01075282,Secondary,"Change From Baseline to 26, 52 and 78 Weeks on Electrocardiogram Parameters, Heart Rate","Baseline, 26, 52, and 78 weeks"
NCT01075282,Secondary,"Change From Baseline to 26, 52 and 78 Weeks on Electrocardiogram Parameters, Fridericia Corrected QT (QTcF) Interval and PR Interval","Baseline, 26, 52, and 78 weeks"
NCT01075282,Secondary,"Number of Participants With LY2189265 Antibodies at 26, 52, 78 Weeks and 4 Weeks After Last Dose of Study Drug (83 Weeks Maximum)","Baseline, 26, 52, 78, and 83 weeks"
NCT01126580,Secondary,Change From Baseline to 26 and 52 Weeks in Pancreatic Enzymes,"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,Change From Baseline to 26 and 52 Weeks in Serum Calcitonin,"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Primary,Change From Baseline to 26-week Endpoint in Glycosylated Hemoglobin (HbA1c),"Baseline, 26 weeks"
NCT01126580,Secondary,Change From Baseline to 52-week Endpoint in Glycosylated Hemoglobin (HbA1c),"Baseline, 52 weeks"
NCT01126580,Secondary,Percentage of Participants Achieving a Glycosylated Hemoglobin (HbA1c) of Less Than 7% and Less Than or Equal to 6.5% at 26 and 52 Weeks,26 weeks and 52 weeks
NCT01126580,Secondary,Change From Baseline to 26 and 52 Weeks in Fasting Blood Glucose,"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,Change From Baseline to 26 and 52 Weeks in Daily Mean Blood Glucose Values From the 8-point Self-monitored Blood Glucose (SMBG) Profiles,"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,Change From Baseline to 26 and 52 Weeks in Body Weight,"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,Change From Baseline to 26 and 52 Weeks in Body Mass Index (BMI),"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,Change From Baseline to 26 and 52 Weeks in Homeostasis Model Assessment of Beta-cell Function,"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,Change From Baseline to 26 and 52 Weeks in the Impact of Weight on Activities of Daily Living (IW-ADL) Score,"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,Change From Baseline to 26 and 52 Weeks in the Impact of Weight on Self-Perception (IW-SP) Score,"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,"Change From Baseline to 26 and 52 Weeks in the Diabetes Treatment Satisfaction Questionnaire (DTSQ) Score, Status Version","Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,"Diabetes Treatment Satisfaction Questionnaire (DTSQ) Score, Change Version",52 weeks
NCT01126580,Secondary,Change From Baseline to 26 and 52 Weeks in the Diabetes Symptoms Checklist Participant-reported Outcome (DSC-r) Score,"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,Number of Participants With Treatment Emergent Adverse Events at 26 and 52 Weeks,26 weeks and 52 weeks
NCT01126580,Secondary,"Change From Baseline to 26 and 52 Weeks in Electrocardiogram Parameters, Fridericia Corrected QT (QTcF) Interval and PR Interval","Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,"Change From Baseline to 26 and 52 Weeks in Electrocardiogram Parameters, Heart Rate","Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,Change From Baseline to 26 and 52 Weeks in Pulse Rate,"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,Change From Baseline to 26 and 52 Weeks in Blood Pressure,"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,Percent Change From Baseline to 26 and 52 Weeks in Total Cholesterol,"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,Percentage Change From Baseline to 26 and 52 Weeks in High Density Lipoprotein Cholesterol (HDL-C),"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,Percentage Change From Baseline to 26 and 52 Weeks in Low Density Lipoprotein Cholesterol (LDL-C),"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,Percentage Change From Baseline to 26 and 52 Weeks in Triglycerides,"Baseline, 26 weeks, and 52 weeks"
NCT01126580,Secondary,Number of Participants With Treatment Emergent Anti-LY2189265 Antibodies,Baseline through 52 weeks
NCT01126580,Secondary,Number of Self-reported Hypoglycemic Events at 26 and 52 Weeks,Baseline through 26 weeks and 52 weeks
NCT01126580,Secondary,Rate of Self-reported Hypoglycemic Events at 52 Weeks,Baseline through 52 weeks
NCT01126580,Secondary,Number of Participants With Adjudicated Pancreatitis at 52 Weeks Plus 30-day Follow up,Baseline through 52 weeks plus 30-day follow up
NCT01126580,Secondary,Number of Participants With Adjudicated Cardiovascular Events at 52 Weeks Plus 30-day Follow up,Baseline through 52 weeks plus 30-day follow up
NCT01126580,Secondary,Measurement of LY2189265 Drug Concentration for Pharmacokinetics: Area Under the Concentration Curve (AUC),"4 weeks, 13 weeks, 26 weeks, and 52 weeks"
NCT01191268,Primary,Change From Baseline to 26-week Endpoint in Glycosylated Hemoglobin (HbA1c),"Baseline, 26 weeks"
NCT01191268,Secondary,Change From Baseline to 52-week Endpoint in Glycosylated Hemoglobin (HbA1c),"Baseline, 52 weeks"
NCT01191268,Secondary,Percentage of Participants Attaining Glycosylated Hemoglobin (HbA1c) Less Than 7% and Less Than or Equal to 6.5% at Weeks 26 and 52,26 weeks and 52 weeks
NCT01191268,Secondary,Change From Baseline to 26 and 52 Weeks in the Percentage of Participants Achieving Glycosylated Hemoglobin (HbA1c) Less Than 7% Without Nocturnal or Severe Hypoglycemia,"Baseline, 26 weeks, and 52 weeks"
NCT01191268,Secondary,"Change From Baseline to 26 and 52 Weeks in Electrocardiogram Parameters, Heart Rate","Baseline, 26 weeks, and 52 weeks"
NCT01191268,Secondary,Change From Baseline to 26 and 52 Weeks in Blood Glucose Values From the 8-point Self-monitored Plasma Glucose (SMPG) Profiles,"Baseline, 26 weeks, and 52 weeks"
NCT01191268,Secondary,Change From Baseline to 26 and 52 Weeks in Fasting Serum Glucose,"Baseline, 26 weeks, and 52 weeks"
NCT01191268,Secondary,Total Daily Insulin Dose Overall and by Components (Insulin Lispro and Insulin Glargine),Baseline and 26 weeks and 52 weeks
NCT01191268,Secondary,Change From Baseline to 26 and 52 Weeks in Body Weight,"Baseline, 26 weeks, and 52 weeks"
NCT01191268,Secondary,"Body Weight at Baseline, 52 Weeks, and 4 Weeks After Last Dose",Baseline and 52 weeks and 4 weeks after last dose
NCT01191268,Secondary,"Change From Baseline to 26 Weeks, 52 Weeks, and 4 Weeks After Last Dose in Body Mass Index (BMI)","Baseline, 26 weeks, and 52 weeks"
NCT01191268,Secondary,Change From Baseline to 26 and 52 Weeks in the EQ-5D,"Baseline, 26 weeks, and 52 weeks"
NCT01191268,Secondary,Change From Baseline to 26 and 52 Weeks in the Impact of Weight on Activities of Daily Living (IW-ADL),"Baseline, 26 weeks, and 52 weeks"
NCT01191268,Secondary,"Number of Events of Adjudicated Pancreatitis up to 26 Weeks, 52 Weeks, and 4 Weeks After Last Dose",Baseline through 52 weeks
NCT01191268,Secondary,Change From Baseline to 26 and 52 Weeks in the Impact of Weight on Self-Perception (IW-SP),"Baseline, 26 weeks, and 52 weeks"
NCT01191268,Secondary,Change From Baseline to 26 and 52 Weeks in the Low Blood Sugar Survey (LBSS),"Baseline, 26 weeks, and 52 weeks"
NCT01191268,Secondary,Change From Baseline to 26 and 52 Weeks in Pancreatic Enzymes,"Baseline, 26 weeks, and 52 weeks"
NCT01191268,Secondary,"Pancreatic Enzymes at Baseline, 52 Weeks, and 4 Weeks After Last Dose",Baseline and 52 weeks and 4 weeks after last dose
NCT01191268,Secondary,Change From Baseline to 26 and 52 Weeks in Serum Calcitonin,"Baseline, 26 weeks, and 52 weeks"
NCT01191268,Secondary,"Serum Calcitonin at Baseline, 52 Weeks, and 4 Weeks After Last Dose",Baseline and 52 weeks and 4 weeks after last dose
NCT01191268,Secondary,Change From Baseline to 26 and 52 Weeks in Blood Pressure,"Baseline, 26 weeks, and 52 weeks"
NCT01191268,Secondary,"Blood Pressure at Baseline, 52 Weeks, and 4 Weeks After Last Dose",Baseline and 52 weeks and 4 weeks after last dose
NCT01191268,Secondary,Change From Baseline to 26 and 52 Weeks in Pulse Rate,"Baseline, 26 weeks, and 52 weeks"
NCT01191268,Secondary,"Pulse Rate at Baseline, 52 Weeks, and 4 Weeks After Last Dose",Baseline and 52 weeks and 4 weeks after last dose
NCT01191268,Secondary,"Change From Baseline to 26 and 52 Weeks in Electrocardiogram Parameters, Fridericia Corrected QT (QTcF) Interval and PR Interval","Baseline, 26 weeks, and 52 weeks"
NCT01191268,Secondary,"Number of Participants With Self-reported Hypoglycemic Events up to 26 Weeks, 52 Weeks, and 4 Weeks After Last Dose",Baseline through 26 weeks and 52 weeks
NCT01191268,Secondary,Rate of Self-reported Hypoglycemic Events up to 52 Weeks,Baseline through 52 weeks
NCT01191268,Secondary,Number of Participants With Adjudicated Cardiovascular Events up to 52 Weeks,Baseline through 52 weeks
NCT01191268,Secondary,"Number of Participants With Treatment Emergent LY2189265 Antibodies up to 26 Weeks, 52 Weeks, and 4 Weeks After Last Dose",Baseline through 4 weeks after last dose
NCT01191268,Secondary,"Number of Participants With Treatment Emergent Adverse Events up to 26 Weeks, 52 Weeks, and 4 Weeks After Last Dose","Baseline through 26 weeks, 52 weeks, and 4 weeks after last dose"
NCT01885208,Secondary,Change From Baseline in Body Weight,"Week 0, week 56"
NCT01885208,Primary,Change From Baseline in HbA1c (Glycosylated Haemoglobin),"Week 0, week 56"
NCT01885208,Secondary,Change From Baseline in Fasting Plasma Glucose (FPG),"Week 0, week 56"
NCT01885208,Secondary,Change From Baseline in Systolic and Diastolic Blood Pressure,"Week 0, week 56"
NCT01885208,Secondary,Change From Baseline in Patient Reported Outcome (PRO) Questionnaire Diabetes Treatment Satisfaction Questionnaire Status (DTSQs),"Week 0, week 56"
NCT01885208,Secondary,Subjects Who Achieve HbA1c Equal to or Below 6.5% (48 mmol/Mol) American Association of Clinical Endocrinologists (AACE) Target: (Yes/no),After 56 weeks' treatment
NCT01930188,Primary,Change in HbA1c (Glycosylated Haemoglobin) From Baseline,"Week 0, week 56"
NCT01930188,Secondary,Change in Body Weight From Baseline,"Week 0, week 56"
NCT01930188,Secondary,Change in Fasting Plasma Glucose (FPG) From Baseline,"Week 0, week 56"
NCT01930188,Secondary,Change in Systolic and Diastolic Blood Pressure From Baseline,"Week 0, week 56"
NCT01930188,Secondary,Change in Patient Reported Outcome (PRO) Questionnaire Diabetes Treatment Satisfaction Questionnaire Status (DTSQs) From Baseline,"Week 0, week 56"
NCT01930188,Secondary,Subjects Who Achieved HbA1c Below or Equal to 6.5% (48 mmol/Mol) American Association of Clinical Endocrinologists (AACE) Target (Yes/no),After 56 weeks treatment
NCT02054897,Secondary,Change in Fasting Plasma Glucose (FPG),"Week 0, week 30"
NCT02054897,Secondary,Change in Systolic and Diastolic Blood Pressure,"Week 0, week 30"
NCT02054897,Secondary,Change in Body Weight,"Week 0, week 30"
NCT02054897,Primary,Change in HbA1c (Glycosylated Haemoglobin),"Week 0, week 30"
NCT02054897,Secondary,Subjects Who Achieve (Yes/no):HbA1c Below 7.0% (53 mmol/Mol) American Diabetes Association Target,At 30 weeks of treatment
NCT02054897,Secondary,Subjects Who Achieve (Yes/no):HbA1c Below or Equal to 6.5% (48 mmol/Mol) American Association of Clinical Endocrinologists Target,At 30 weeks of treatment
NCT02128932,Primary,Change in HbA1c From Baseline,"Week 0, week 30"
NCT02128932,Secondary,Change in Body Weight From Baseline,"Week 0, week 30"
NCT02128932,Secondary,Change in Fasting Plasma Glucose From Baseline,"Week 0, week 30"
NCT02128932,Secondary,Change in Diastolic Blood Pressure.,"Week 0, week 30"
NCT02128932,Secondary,Change in Systolic Blood Pressure.,"Week 0, week 30"
NCT02128932,Secondary,"Change in Patient Reported Outcome (PRO) Questionnaire, Questionnaire SF-36v2™","Week 0, week 30"
NCT02128932,Secondary,"Change in Patient Reported Outcome Questionnaires. (PROs), Diabetes Treatment Satisfaction Questionnaire (DTSQs)","Week 0, week 30"
NCT02128932,Secondary,"Subjects Who Achieve HbA1c ≤6.5% (48 mmol/Mol), American Association of Clinical Endocrinologists (AACE)",After 30 weeks treatment
NCT02607865,Primary,Change in HbA1c: Week 26,"Week 0, week 26"
NCT02607865,Secondary,Change in Body Weight: Week 26,"Week 0, week 26"
NCT02607865,Secondary,Change in HbA1c: Weeks 52 and 78,"Week 0, week 52, week 78"
NCT02607865,Secondary,Change in Body Weight (kg): Weeks 52 and 78,"Week 0, week 52, week 78"
NCT02607865,Secondary,Change in Body Weight (%),"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in FPG,"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in BMI,"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in Waist Circumference,"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in Total Cholesterol (Ratio to Baseline),"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in LDL Cholesterol (Ratio to Baseline),"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in VLDL Cholesterol (Ratio to Baseline),"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in HDL Cholesterol (Ratio to Baseline),"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in Triglycerides (Ratio to Baseline),"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in Free Fatty Acids (Ratio to Baseline),"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in SMPG - Mean 7-point Profile,"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in SMPG - Mean Postprandial Increment Over All Meals,"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Participants Who Achieve HbA1c <7.0% (53 mmol/Mol) ADA Target (Yes/no),"Week 26, week 52, week 78"
NCT02607865,Secondary,Participants Who Achieve HbA1c ≤6.5% (48 mmol/Mol) AACE Target (Yes/no),"Week 26, week 52, week 78"
NCT02607865,Secondary,Participants Who Achieve Weight Loss ≥5% (Yes/no),"Week 26, week 52, week 78"
NCT02607865,Secondary,Participants Who Achieve Weight Loss ≥10% (Yes/no),"Week 26, week 52, week 78"
NCT02607865,Secondary,Participants Who Achieve HbA1c <7.0 % (53 mmol/Mol) Without Hypoglycaemia (Severe or BG Confirmed Symptomatic Hypoglycaemia) and no Weight Gain (Yes/no),"Week 26, week 52, week 78"
NCT02607865,Secondary,Participants Who Achieve HbA1c Reduction ≥1% (10.9 mmol/Mol) and Weight Loss ≥3% (Yes/no),"Week 26, week 52, week 78"
NCT02607865,Secondary,Time to Additional Anti-diabetic Medication,Weeks 0-78
NCT02607865,Secondary,Time to Rescue Medication,Weeks 0-78
NCT02607865,Secondary,Number of TEAEs During Exposure to Trial Product,Weeks 0-83
NCT02607865,Secondary,Change in Amylase (Ratio to Baseline),"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in Lipase (Ratio to Baseline),"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in Pulse Rate,"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in SBP and DBP,"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in ECG Evaluation,"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in Physical Examination,"Week -2, week 52, week 78"
NCT02607865,Secondary,Change in Eye Examination Category,"Week -2, week 52, week 78"
NCT02607865,Secondary,Occurrence of Anti-semaglutide Binding Antibodies (Yes/no),Weeks 0-83
NCT02607865,Secondary,Occurrence of Anti-semaglutide Neutralising Antibodies (Yes/no),Weeks 0-83
NCT02607865,Secondary,Occurrence of Anti-semaglutide Binding Antibodies Cross Reacting With Native GLP-1 (Yes/no),Weeks 0-83
NCT02607865,Secondary,Occurrence of Anti-semaglutide Neutralising Antibodies Cross Reacting With Native GLP-1 (Yes/no),Weeks 0-83
NCT02607865,Secondary,Anti-semaglutide Binding Antibody Levels,Weeks 0-83
NCT02607865,Secondary,Number of Treatment-emergent Severe or BG-confirmed Symptomatic Hypoglycaemic Episodes,Weeks 0-83
NCT02607865,Secondary,Participants With Treatment-emergent Severe or BG-confirmed Symptomatic Hypoglycaemic Episodes,Weeks 0-83
NCT02607865,Secondary,Semaglutide Plasma Concentration in a Subset of the Participants for Population PK Analyses,Weeks 0-83
NCT02607865,Secondary,"Change in SF-36v2 (Acute Version) Health Survey: Scores From the 8 Domains, the Physical Component Summary (PCS) and the Mental Component Summary (MCS)","Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in IWQoL-Lite-CT: Total Score and Scores From the 4 Domains,"Week 0, week 26, week 52, week 78"
NCT02607865,Secondary,Change in CoEQ: Scores From the 4 Domains and the 19 Items,"Week 0, week 26, week 52, week 78"
NCT02863328,Secondary,Change in Pulse Rate,"Week 0, week 26, week 52"
NCT02863328,Secondary,Change in Waist Circumference,"Week 0, week 26, week 52"
NCT02863328,Primary,Change in HbA1c,"Week 0, week 26"
NCT02863328,Secondary,Change in Body Weight (Kg),"Week 0, week 26"
NCT02863328,Secondary,Change in HbA1c (%),"Week 0, week 52"
NCT02863328,Secondary,Change in Body Weight (kg),"Week 0, week 52"
NCT02863328,Secondary,Change in Fasting Plasma Glucose,"Week 0, week 26, week 52"
NCT02863328,Secondary,Change in SMPG : Mean of the 7-point Profile,"Week 0, week 26 and week 52"
NCT02863328,Secondary,Change in SMPG : Mean Postprandial Increment Over All Meals,"Week 0, week 26 and week 52"
NCT02863328,Secondary,Change in Fasting C-peptide (Ratio to Baseline),"Week 0, week 26 and week 52"
NCT02863328,Secondary,Change in Fasting Insulin (Ratio to Baseline),"Week 0, week 26 and week 52"
NCT02863328,Secondary,Change in Fasting Pro-insulin (Ratio to Baseline),"Week 0, week 26 and week 52"
NCT02863328,Secondary,Change in Fasting Glucagon (Ratio to Baseline),"Week 0, week 26 and week 52"
NCT02863328,Secondary,Change in HOMA-IR (Ratio to Baseline),"Week 0, week 26 and week 52"
NCT02863328,Secondary,Change in HOMA-B (Ratio to Baseline),"Week 0, week 26 and week 52"
NCT02863328,Secondary,Change in C-reactive Protein (Ratio to Baseline),"Week 0, week 26 and week 52"
NCT02863328,Secondary,Change in Body Weight (%),"Week 0, week 26, week 52"
NCT02863328,Secondary,Change in Body Mass Index,"Week 0, week 26, week 52"
NCT02863328,Secondary,Change in Fasting Total Cholesterol (Ratio to Baseline),"Week 0, week 26 and week 52"
